"","clone1","clone2","clone3","clone4"
"ADAP1",2,2,1,2
"COX19",2,2,1,2
"INTS1",2,2,1,2
"MAFK",2,2,1,2
"TMEM184A",2,2,1,2
"PSMG3",2,2,1,2
"PSMG3-AS1",2,2,1,2
"ELFN1",2,2,1,2
"MAD1L1",2,2,1,2
"NUDT1",2,2,1,2
"SNX8",2,2,1,2
"EIF3B",2,2,1,2
"CHST12",2,2,1,2
"LFNG",2,2,1,2
"BRAT1",2,2,1,2
"IQCE",2,2,1,2
"TTYH3",2,2,1,2
"AMZ1",2,2,1,2
"GNA12",2,2,1,2
"CARD11",2,2,1,2
"SDK1",2,2,1,2
"CD99",1,1,1,2
"GYG2",1,1,1,2
"ARSD",1,1,1,2
"MXRA5",1,1,1,2
"STS",1,1,1,2
"TBL1X",1,1,1,2
"GPR143",1,1,1,2
"SHROOM2",1,1,1,2
"WWC3",1,1,1,2
"CLCN4",1,1,1,2
"HCCS",1,1,1,2
"ARHGAP6",1,1,1,2
"PRPS2",1,1,1,2
"TLR7",1,1,1,2
"TMSB4X",1,1,1,2
"EGFL6",1,1,1,2
"TCEANC",1,1,1,2
"RAB9A",1,1,1,2
"TRAPPC2",1,1,1,2
"OFD1",1,1,1,2
"GPM6B",1,1,1,2
"FANCB",1,1,1,2
"MOSPD2",1,1,1,2
"ASB9",1,1,1,2
"PIGA",1,1,1,2
"PIR",1,1,1,2
"CA5B",1,1,1,2
"ZRSR2",1,1,1,2
"AP1S2",1,1,1,2
"CTPS2",1,1,1,2
"SYAP1",1,1,1,2
"TXLNG",1,1,1,2
"RBBP7",1,1,1,2
"NHS",1,1,1,2
"SCML1",1,1,1,2
"RAI2",1,1,1,2
"SCML2",1,1,1,2
"CDKL5",1,1,1,2
"PHKA2",1,1,1,2
"SH3KBP1",1,1,1,2
"MAP7D2",1,1,1,2
"EIF1AX",1,1,1,2
"RPS6KA3",1,1,1,2
"CNKSR2",1,1,1,2
"KLHL34",1,1,1,2
"MBTPS2",1,1,1,2
"YY2",1,1,1,2
"SMS",1,1,1,2
"PHEX",1,1,1,2
"PRDX4",1,1,1,2
"ACOT9",1,1,1,2
"AC131011.1",1,1,1,2
"SAT1",1,1,1,2
"APOO",1,1,1,2
"KLHL15",1,1,1,2
"EIF2S3",1,1,1,2
"ZFX",1,1,1,2
"PDK3",1,1,1,2
"POLA1",1,1,1,2
"GK",1,1,1,2
"TAB3",1,1,1,2
"DMD",1,1,1,2
"XK",2,2,2,3
"CYBB",2,2,2,3
"DYNLT3",2,2,2,3
"SRPX",2,2,2,3
"RPGR",2,2,2,3
"TSPAN7",2,2,2,3
"MID1IP1",2,2,2,3
"BCOR",2,2,2,3
"ATP6AP2",2,2,2,3
"CXorf38",2,2,2,3
"MED14",2,2,2,3
"USP9X",2,2,2,3
"DDX3X",2,2,2,3
"CASK",2,2,2,3
"GPR82",2,2,2,3
"MAOA",2,2,2,3
"MAOB",2,2,2,3
"EFHC2",2,2,2,3
"FUNDC1",2,2,2,3
"KDM6A",2,2,2,3
"KRBOX4",2,2,2,3
"ZNF674",2,2,2,3
"ZNF674-AS1",2,2,2,3
"CHST7",2,2,2,3
"SLC9A7",2,2,2,3
"RP2",2,2,2,3
"JADE3",2,2,2,3
"RGN",2,2,2,3
"NDUFB11",2,2,2,3
"RBM10",2,2,2,3
"UBA1",2,2,2,3
"CDK16",2,2,2,3
"ZNF41",2,2,2,3
"ARAF",2,2,2,3
"SYN1",2,2,2,3
"TIMP1",2,2,2,3
"CFP",2,2,2,3
"WAS",2,2,2,3
"SUV39H1",2,2,2,3
"GLOD5",2,2,2,3
"HDAC6",2,2,2,3
"PCSK1N",2,2,2,3
"TIMM17B",2,2,2,3
"PQBP1",2,2,2,3
"SLC35A2",2,2,2,3
"PIM2",2,2,2,3
"OTUD5",2,2,2,3
"KCND1",2,2,2,3
"GRIPAP1",2,2,2,3
"TFE3",2,2,2,3
"CCDC120",2,2,2,3
"PRAF2",2,2,2,3
"WDR45",2,2,2,3
"GPKOW",2,2,2,3
"GOLGA7",4,4,3,2
"GINS4",4,4,3,2
"ANK1",4,4,3,2
"KAT6A",4,4,3,2
"AP3M2",4,4,3,2
"PLAT",4,4,3,2
"IKBKB",4,4,3,2
"POLB",4,4,3,2
"VDAC3",4,4,3,2
"SLC20A2",4,4,3,2
"SMIM19",4,4,3,2
"CHRNA6",4,4,3,2
"THAP1",4,4,3,2
"RNF170",4,4,3,2
"HOOK3",4,4,3,2
"FNTA",4,4,3,2
"POMK",4,4,3,2
"RB1CC1",4,4,3,2
"MRPL15",4,4,3,2
"SOX17",4,4,3,2
"RP1",4,4,3,2
"XKR4",4,4,3,2
"TMEM68",4,4,3,2
"TGS1",4,4,3,2
"LYN",4,4,3,2
"RPS20",4,4,3,2
"PLAG1",4,4,3,2
"CHCHD7",4,4,3,2
"IMPAD1",4,4,3,2
"CA8",4,4,3,2
"RAB2A",4,4,3,2
"CHD7",4,4,3,2
"ASPH",4,4,3,2
"GGH",4,4,3,2
"TTPA",4,4,3,2
"YTHDF3-AS1",4,4,3,2
"YTHDF3",4,4,3,2
"CYP7B1",4,4,3,2
"ARMC1",4,4,3,2
"MTFR1",4,4,3,2
"PDE7A",4,4,3,2
"RRS1",4,4,3,2
"ADHFE1",4,4,3,2
"MYBL1",4,4,3,2
"VCPIP1",4,4,3,2
"SGK3",4,4,3,2
"C8orf44",4,4,3,2
"MCMDC2",4,4,3,2
"COPS5",4,4,3,2
"CSPP1",4,4,3,2
"ARFGEF1",4,4,3,2
"SULF1",4,4,3,2
